,tweet,target
0,"Warm wishes for a wonderful holiday and happy new year, from the folks at Konami! ❄️☃️🎰         https://t.co/sbQVVAezko",1
1,  from tonight going to  vic fires  Aparently about     comming ,0
2,"I've just published:  ""Ultimate  Management Guide: Control It Before It Controls You""  https://t.co/bAQUU0dZwD  https://t.co/OLRBCDsySi",1
3,It sucks when you're poor It sucks when you have no support It sucks when you have no friends It sucks when you're family bullies you It sucks when there's no one to reach out It sucks being me...   ,1
4,2019年7月にスタートしたStay Gold✨  小さなスタジオでの デビューイベントから半年。 沢山の方々の応援のおかげで 一歩一歩進むことができました。…  https://t.co/jbNnUnX6Oc  2020年も引き続きStay Goldを よろしくお願いいたします！     https://t.co/IaqTH6U9BA,1
5,"So, 2019 kicked my ass this year. In 2020, I plan to kick back.  How? Live each day well. Love hard. Run faster. Hug tighter. Aim higher. Be kind to your neighbors. Say “I love you” to a complete stranger. Be kind &amp; polite. Earn respect.Please &amp; thank you.  New Year!  https://t.co/fCRRbIjUT1",1
6,💝💫🤩💫😍💫💖😆😂😂😂      “여러분과 함께하는 이 순간이 나의 기쁨입니다. 사랑합니다.”  https://t.co/MuJQydjq9v,1
7,Are you suffer of anxiety? Check out these 8 things to do for feeling better.    https://t.co/eBpDOnOuZh,1
8,   PERFEKTnCHANCE  Chance  is Boo    ,0
9, adamisacson My first day off in   weeks  and my child got up before       So watch for me on  quot Nancy Grac   ,0
10, Harper s Island is on tonight ,0
11,"I just wanted to end this bad year on a better note, but I guess life loves giving me and my family the opposite.  ",1
12, quot It s because I can spell confusing with a K and I like it  quot  SO CUTE ,0
13,     with which you have maintained the struggle against overwhelming odds  So stay focus baby ,0
14,I never thought that I would be mid 20s and divorcing. Like that's just something I never in a million years thought would happen... ,1
15,"*Scrolling through trending hashtags Stupid, sports, IDK, IDC, stoopid.. okay I'm too irritated to be here. Pissed off from so much to do... Freakin out.     Ok i guess I should get outta here. Stupid, stupid. I'm bad. Sry :( :  Chill out.  https://t.co/EckePxpH9w",1
16,"10. Palhano-Fontes et al., 2018. RCT investigating the  effects of  in treatment-resistant . Results showed significant reductions in depressive symptoms for those participants who received ayahuasca.    https://t.co/ZMnBjUHzum",1
17, quot Be strong  all of you who put your hope in the Lord  Never give up  quot      Psalm         ,0
18, is just anger. It isnt good. It isn't bad. What u do with it is what matters. U can use it to build or to destroy.-Jim Butcher ,1
19,How To Help Your Child Deal With   https://t.co/KkBB8zZdkz ,1
20,"The number of people with  is increasing as people live longer. In 2017, GP registers in UK showed more than 450k people had a formal diagnosis of dementia. A study suggests that  don’t help treat depression in people with dementia  https://t.co/g6v8rrInrg",1
21,   it doesn t get any better than THIS   or does it   ,0
22,New Years can be very hard for some of us.   Do you stay in for new years or go out among people?   https://t.co/uQYvfJL44T    https://t.co/CkVbuiaESG,1
23,People with Depression Use Language Differently  https://t.co/jBdwslFQ9Z  ,1
24, Challenges:  2016: 1 (started with cycling at the end of year)  2017: 1  2018: 19 😯🤩  What a huge difference!  With this in mind I will start 2019 no matter how hard it is. Despite of  I had a good year thanks to     https://t.co/fPb13LXLyL,1
25,My 2019 word is Delight.  https://t.co/NwUt4EBFm4    I took a quiz. What a surprise!,1
26, andyclemmensen i really really want to watch  quot alice in wonderland quot   amp  amp   quot the flinstones quot  the real people ones ,0
27, lamb sighting  Offspring of woodpecker sighted on nuts  either that or he has got a lot smaller     ,0
28,"Here's Sean, Red-Fern's Managing Director discussing the importance of delighting your customers.   Check out the link below to find out the importance of keeping customers happy and thanking them for their partnerships!       https://t.co/ZZoXyqeJnJ  https://t.co/0xFGmaygKt",1
29,Thoughts on the nature of loneliness.   So relevant on Christmas   This helped me see my loneliness for what it is and was so validating somehow.   Mission: embrace the truth of it and dislodge it    https://t.co/BY9p10AWIf,1
