,id,conversation_id,date,username,tweet_processed,hashtags,tweet_original,target
0,1079889364358975494,1079889364358975494,2018-12-31,depressediniowa,"I am afraid of death.  I don't want to die.  Yet this still does not motivate me to do things I enjoy.  Die happy, or die sad.  Either way, you die so what's the point?    ","['depression', 'depressed', 'depressedthoughts']","I am afraid of death.  I don't want to die.  Yet this still does not motivate me to do things I enjoy.  Die happy, or die sad.  Either way, you die so what's the point?  #depression #depressed #depressedthoughts",1
1,1079888935457882113,1076269087943057408,2018-12-31,mo_loves,"@Sia I wish I’d known I could write about myself...😞 I’m always too late for everything, miss out on everything...my gahd. My life... Anyway, have a Happy New Year. Here’s to hoping next year will be better... ",['depression'],"@Sia I wish I’d known I could write about myself...😞 I’m always too late for everything, miss out on everything...my gahd. My life... Anyway, have a Happy New Year. Here’s to hoping next year will be better... #depression",1
2,1079886706675994631,1079886706675994631,2018-12-31,1houratatime,"1 eye is smaller than the other. My lips so imperfect. I was so thin 20 years ago, and today I’m so into the opposite. But I love who I am.  For all us, warriors against   and  For a better, healthier, blessed 2019! 🍷  https://t.co/7pAXGpvfgJ","['depression', 'anxiety', 'ehlersdanlossyndrome', 'happy2019']","1 eye is smaller than the other. My lips so imperfect. I was so thin 20 years ago, and today I’m so into the opposite. But I love who I am.  For all us, warriors against #depression #anxiety and #ehlersdanlossyndrome For a better, healthier, blessed 2019! 🍷#Happy2019  https://t.co/7pAXGpvfgJ",1
3,1079886355885367297,1079886355885367297,2018-12-31,thecou_ch,I’m fed up.. I’ve been married to a drug and alcohol abuser for 2 ...     https://t.co/cE4CWm0rr5,"['psychology', 'depression', 'mentalhealth']",I’m fed up.. I’ve been married to a drug and alcohol abuser for 2 ... #Psychology #Depression #Mentalhealth  https://t.co/cE4CWm0rr5,1
4,1079886121931235328,1079886121931235328,2018-12-31,griffinhearts,It’s no wonder so many of us feel so shitty so often with various types of  &amp;  because from a certain perspective we are all walking tragedies!  Apparently the source of all creation resides within us &amp; we just don’t notice it!  LMAO!!!  !,"['anxiety', 'depression', '3chordsandthetruth']",It’s no wonder so many of us feel so shitty so often with various types of #Anxiety &amp; #Depression because from a certain perspective we are all walking tragedies!  Apparently the source of all creation resides within us &amp; we just don’t notice it!  LMAO!!!  #3ChordsandTheTruth!,1
5,1079884493522116608,1079884493522116608,2018-12-31,richardpcortez1,"“What happens when you stop an antidepressant is known as a discontinuation syndrome, due to the sudden loss of serotonin and/or norepinephrine that had been boosted in the brain by the medication.”     https://t.co/XkHfeBGSaG","['depression', 'antidepressant', 'brain']","“What happens when you stop an antidepressant is known as a discontinuation syndrome, due to the sudden loss of serotonin and/or norepinephrine that had been boosted in the brain by the medication.” #Depression #Antidepressant #Brain  https://t.co/XkHfeBGSaG",1
6,1079883198438490113,1079883198438490113,2018-12-31,vkararwa,Doctor Discussion Guide: How to Talk About Your   https://t.co/ubzwPZMXP2   https://t.co/FXR7kh4o4e,"['mdd', 'depression']",Doctor Discussion Guide: How to Talk About Your #MDD  https://t.co/ubzwPZMXP2 #Depression  https://t.co/FXR7kh4o4e,1
7,1079882321195556864,1079882321195556864,2018-12-31,crislemon,Here’s to the end of 2018! 🥂 I am grateful to have made it another year!     ,"['mentalhealth', 'depression', 'newyearseve2018', 'newyearseve', 'mentalillnesssurvivor']",Here’s to the end of 2018! 🥂 I am grateful to have made it another year! #Mentalhealth #Depression #NewYearsEve2018 #NewYearsEve #mentalillnesssurvivor,1
8,1079881473346424832,1079881472570519554,2018-12-31,semicoloncat,"In 2019 I resolve to get back on my meds. I will have insurance again, so there's no excuse not to.    ","['depression', 'anxiety', 'ptsd', 'bpd']","In 2019 I resolve to get back on my meds. I will have insurance again, so there's no excuse not to. #depression #anxiety #PTSD #BPD",1
9,1079881325895712770,1079855727286632450,2018-12-31,wally44,Und nochmal! |ssilvester   https://t.co/D1SGhOM5LD   ,"['depression', 'zdf', 'miniplaybackshow']",Und nochmal! #Depression|ssilvester   https://t.co/D1SGhOM5LD  #ZDF #MiniPlaybackShow,1
10,1079877111979094017,1079437031544180736,2018-12-31,vd2013,"@tayari This Latina wrote &amp; self published my first novel  “Milo &amp; Elisa”  Inspired by my own struggle with my mental health  Important fiction YA novel about mental health, loving yourself &amp; the idea of guardian angels      https://t.co/pgwfgjRxsb","['depression', 'anxiety']","@tayari This Latina wrote &amp; self published my first novel  “Milo &amp; Elisa”  Inspired by my own struggle with my mental health  Important fiction YA novel about mental health, loving yourself &amp; the idea of guardian angels  #Depression #Anxiety   https://t.co/pgwfgjRxsb",1
